---小学四则运算基础题附答案---
54÷68=	70÷54=	3-61=	91+91=	71+34=	
76×65=	39+35=	51+40=	67-71=	30-22=	
59÷9=	63×10=	61×77=	94-58=	77-98=	
37+57=	88-76=	81-81=	95×9=	69×55=	
76÷25=	75×59=	60÷38=	8+92=	71×29=	
89×58=	40×59=	50÷29=	35+58=	86×4=	
64-83=	44+30=	52×71=	0×74=	90-99=	
51×0=	81+39=	30÷56=	1+46=	65-18=	
95+33=	40×72=	64-79=	26×74=	0×75=	
44×51=	77×99=	84×27=	9+83=	60+57=	
2+11=	96÷28=	26×16=	61-10=	70÷44=	
12×66=	30-75=	31+93=	86+36=	97+88=	
61×46=	9÷98=	43+90=	72÷79=	13-21=	
32-24=	75-71=	35-87=	46×93=	32-73=	
50÷99=	31×12=	44×41=	10×40=	10+85=	
38-17=	41+99=	37÷75=	78-25=	13+51=	
64+36=	97-92=	22-37=	65+79=	49-7=	
59+79=	30+24=	36-94=	86÷35=	49÷7=	
94×79=	97÷89=	7+41=	15÷46=	32÷82=	
74÷90=	90×67=	3×99=	90+75=	66+11=	
----总共出了100道四则运算题 ----
