---小学四则运算基础题附答案---
54÷68=0.79	70÷54=1.30	3-61=58	91+91=182	71+34=105	
76×65=4940	39+35=74	51+40=91	67-71=4	30-22=-8	
59÷9=6.56	63×10=630	61×77=4697	94-58=-36	77-98=21	
37+57=94	88-76=-12	81-81=0	95×9=855	69×55=3795	
76÷25=3.04	75×59=4425	60÷38=1.58	8+92=100	71×29=2059	
89×58=5162	40×59=2360	50÷29=1.72	35+58=93	86×4=344	
64-83=19	44+30=74	52×71=3692	0×74=0	90-99=9	
51×0=0	81+39=120	30÷56=0.54	1+46=47	65-18=-47	
95+33=128	40×72=2880	64-79=15	26×74=1924	0×75=0	
44×51=2244	77×99=7623	84×27=2268	9+83=92	60+57=117	
2+11=13	96÷28=3.43	26×16=416	61-10=-51	70÷44=1.59	
12×66=792	30-75=45	31+93=124	86+36=122	97+88=185	
61×46=2806	9÷98=0.09	43+90=133	72÷79=0.91	13-21=8	
32-24=-8	75-71=-4	35-87=52	46×93=4278	32-73=41	
50÷99=0.51	31×12=372	44×41=1804	10×40=400	10+85=95	
38-17=-21	41+99=140	37÷75=0.49	78-25=-53	13+51=64	
64+36=100	97-92=-5	22-37=15	65+79=144	49-7=-42	
59+79=138	30+24=54	36-94=58	86÷35=2.46	49÷7=7.00	
94×79=7426	97÷89=1.09	7+41=48	15÷46=0.33	32÷82=0.39	
74÷90=0.82	90×67=6030	3×99=297	90+75=165	66+11=77	
----总共出了100道四则运算题 ----
